单词	发音	词性 中文释义	英文释义: 示例短语	补充内容	笔记
AD	/ˌeɪ ˈdiː/	n. 公元	in the year of our Lord: in AD 200	【备注】Anno Domini 的缩写	
a·dapt	/əˈdæpt/	v. 改编，适应	adjust: adapt to change	【联想】adaptation 适应；形近 adopt 收养【词根】ad- 'to' + apt 'fit'	
ad·ap·ta·tion	/ˌædəpˈteɪʃən/	n. 适应	adjustment: cultural adaptation	【联想】adapt 适应【词根】ad- 'to' + apt 'fit' + -ation	
add	/æd/	v. 添加	increase: add numbers	【联想】addition 加法；additional 额外的【词根】add 'add'	
ad·dic·ted	/əˈdɪktɪd/	a. 上瘾的	hooked: addicted to games	【词组】be addicted to sth【联想】addiction 上瘾【词根】ad- 'to' + dict 'say' + -ed	
ad·di·tion	/əˈdɪʃən/	n. 加法	summing: in addition to	【联想】add 添加【词根】ad- 'to' + dit 'add' + -ion	
ad·dress	/əˈdres/	n. 地址 v. 处理；演讲	location: address a letter	【联想】形近 dress 连衣裙【词根】ad- 'to' + dress 'direct'	
ad·e·quate	/ˈædəkwət/	a. 足够的	enough: adequate supply	【同】SUFFICIENT, enough 【词根】ad- 'to' + equ 'equal' + -ate【联想】adequacy 充足	
ad·just	/əˈdʒʌst/	v. 调整，适应	change to fit: adjust the seat	【联想】adjustment 调整【词根】ad- 'to' + just 'right'	
ad·just·ment	/əˈdʒʌstmənt/	n. 调整	change: make an adjustment	【同】change, modification 【联想】adjust 调整【词根】ad- 'to' + just 'right' + -ment	
ad·min·is·tra·tion	/ədˌmɪnɪˈstreɪʃən/	n. 管理	management: school administration	【联想】administer 管理【词根】ad- 'to' + minist 'serve' + -ration	
ad·mi·ra·ble	/ˈædmərəbəl/	a. 令人钦佩的	praiseworthy: admirable performance	【联想】admire 钦佩【词根】ad- 'to' + mir 'wonder' + -able	
ad·mire	/ədˈmaɪər/	vt. 钦佩	respect: admire a hero	【同】RESPECT, ADORE 【反】despise. admire someone for their skill/intelligence 【联想】admiration 钦佩；admirable 令人钦佩的【词根】ad- 'to' + mir 'wonder'	
ad·mis·sion	/ədˈmɪʃən/	n. 准入，入场权	entry: gain admission	【同】entry, access 【联想】admit 承认【词根】ad- 'to' + miss 'send' + -ion	
ad·mit	/ədˈmɪt/	vt. 承认	confess: admit a mistake	【同】confess, allow, accept 【反】deny 【联想】admission 准入【词根】ad- 'to' + mit 'send'	
ad·o·les·cence	/ˌædəˈlesəns/	n. 青春期	youth: during adolescence	【同】youth 【联想】adolescent 青少年的【词根】ad- 'to' + olesc 'grow' + -ence	
ad·o·les·cent	/ˌædəˈlesənt/	n. 青少年	teen: young adolescent	【同】teenager【词根】ad- 'to' + olesc 'grow' + -ent【联想】adolescence 青春期；teenager 青少年	
a·dopt	/əˈdɒpt/	vt. 收养；采用	take up: adopt a child	【同】take up, legally take child 【联想】adoption 收养；形近 adapt 适应【词根】ad- 'to' + opt 'choose'	
a·dore	/əˈdɔːr/	vt. 爱慕，崇拜	love deeply: adore a pet	【同】love 【联想】adorable 可爱的【词根】ad- 'to' + ore 'pray'	
ad·ult	/ˈædʌlt/	n. 成年人	grown-up: grown adult	【反】child 【联想】adolescent 青少年【词根】ad- 'to' + ult 'grow'	
ad·vance	/ədˈvɑːns/	v. 前进	move forward: make an advance	【同】MOVE FORWARD 【联想】advanced 先进的；形近 advantage 优势【词根】ad- 'to' + vance 'before'	
ad·van·tage	/ədˈvɑːntɪdʒ/	n. 优势	benefit: have an advantage	【同】benefit 【反】disadvantage. The advantage of living in a town is that there is lots to do 【联想】反义 disadvantage 劣势【词根】ad- 'to' + vantage 'before'	
ad·ven·ture	/ədˈventʃər/	n. 冒险	risk: an exciting adventure	【同】exploit, enterprise 【联想】adventurous 爱冒险的【词根】ad- 'to' + vent 'come' + -ure	
ad·ver·tise	/ˈædvətaɪz/	v. 做广告	promote: advertise a product	【联想】advertisement 广告【词根】ad- 'to' + vert 'turn' + -ise	
ad·ver·tise·ment	/ədˈvɜːtɪsmənt/	n. 广告	promotion: put an advertisement	【联想】advertise 做广告【词根】ad- 'to' + vert 'turn' + -isement	
ad·vice	/ədˈvaɪs/	n. 建议	suggestion: give advice	【联想】advise 建议【词根】ad- 'to' + vice 'see'	
ad·vise	/ədˈvaɪz/	vt. 建议	suggest: advise someone to do	【同】suggest 【联想】advice 建议；advisor 顾问【词根】ad- 'to' + vise 'see'【辨析】advise sb to do；suggest doing	
ad·vo·cate	/ˈædvəkeɪt/	vt. 倡导	support: advocate for rights	【词根】ad- 'to' + voc 'call'【同】support, recommend 【联想】advocacy 倡导	
af·fair	/əˈfeər/	n. 事务	matter: a public affair	【同】BUSINESS	
af·fect	/əˈfekt/	vt. 影响	impact: affect the result	【同】influence 【联想】形近 effect 影响；affection 感情【辨析】effect 影响(n)；affect 影响(v)；influence 影响(潜移默化)	
af·fec·tion	/əˈfekʃən/	n. 感情	fondness: show affection	【同】love 【联想】affect 影响【词根】af- 'to' + fect 'do' + -ion	
af·ford	/əˈfɔːd/	vt. 负担得起	pay for: afford a house	【例句】Can you afford to buy a computer?	
a·fraid	/əˈfreɪd/	a. 害怕的	scared: afraid of the dark	【词组】afraid of【例句】Some people are afraid of spiders. 【联想】fear 害怕	
Af·ric·a	/ˈæfrɪkə/	n. 非洲	continent: in Africa	【联想】形容词 African 非洲的	
Af·ri·can	/ˈæfrɪkən/	a. 非洲的	from Africa: African culture	【联想】名词 Africa 非洲	
af·ter	/ˈɑːftər/	prep. 在...之后	following: after lunch		
af·ter·noon	/ˌɑːftəˈnuːn/	n. 下午	post-noon: this afternoon	【联想】morning 早晨，evening 晚上，noon 中午	
afterward	/ˈɑːftərwəd/	ad. 后来；以后	later: afterward we left	【联想】afterwards 后来	
af·ter·wards	/ˈɑːftəwədz/	ad. 之后	later: shortly afterwards	【同】later 【联想】afterward 后来	
a·gain	/əˈɡen/	ad. 再次	once more: try again	【同】once more. I'd like to see that film again	
a·gainst	/əˈɡenst/	prep. 对抗	versus: lean against the wall	【例句】I'm against testing chemicals on animals	
age	/eɪdʒ/	n. 年龄	years old: at a young age	【联想】aged 年老的；teenager 青少年	
a·gen·cy	/ˈeɪdʒənsi/	n. 代理机构	office: travel agency	【联想】agent 代理人	
a·gen·da	/əˈdʒendə/	n. 议程	list of items to discuss: set an agenda	【同】list of items to discuss	
a·gent	/ˈeɪdʒənt/	n. 代理人	representative: sales agent	【联想】agency 代理机构	
ag·gres·sive	/əˈɡresɪv/	a. 侵略性的	hostile: aggressive behavior	【例句】He is very aggressive when he plays football.【联想】aggression 侵略	
a·go	/əˈɡəʊ/	ad. ... 以前	before: long ago	【同】before. Rob and Di got married two years ago	
a·gree	/əˈɡriː/	vi. 同意	concur: agree with you	【词组】agree with sb.【反】disagree【联想】agreement 协议；反义 disagree 不同意	
a·gree·ment	/əˈɡriːmənt/	n. 协议	deal: reach an agreement	【联想】agree 同意【词根】agree 'agree' + -ment	
agricultural	/ˌæɡrɪˈkʌltʃərəl/	a. 农业的	farming: agricultural products	【联想】agriculture 农业	
ag·ri·cul·ture	/ˈæɡrɪkʌltʃər/	n. 农业	farming: modern agriculture	【联想】agricultural 农业的；farmer 农民	
a·head	/əˈhed/	ad. 在前面	forward: ahead of time	【反】behind 【联想】head 头	
aid	/eɪd/	n. 援助	help: give first aid	【同】help, ASSISTANCE, support 【联想】AIDS 艾滋病；first aid 急救	
AIDS	/eɪdz/	n. 艾滋病	disease: suffer from AIDS	【联想】aid 援助	
aim	/eɪm/	v. 瞄准 n. 目标	target: aim at the target		
air	/eər/	n. 空气	atmosphere: fresh air	【联想】airplane 飞机，airport 机场，airline 航空公司	
air·craft	/ˈeəkrɑːft/	n. 飞机	flying machine: military aircraft	【联想】词根 air 空气；craft 飞行器	
air·line	/ˈeəlaɪn/	n. 航空公司	carrier: major airline	【联想】词根 air 空气	
air·mail	/ˈeəmeɪl/	n. 航空邮件	mail sent by air: send airmail	【同】mail sent by air 【联想】mail 邮件	
air·plane	/ˈeəpleɪn/	n. 飞机	aircraft: board an airplane	【联想】plane 飞机；aircraft 飞行器	
air·port	/ˈeəpɔːt/	n. 机场	airfield: international airport	【联想】port 港口【词根】air 'air' + port 'harbour'	
air·space	/ˈeəspeɪs/	n. 空域	sky territory: national airspace	【联想】air 空气；space 空间	
a·larm	/əˈlɑːm/	n. 警报	warning: set an alarm	【联想】alarm clock 闹钟【辨析】warn 警告；alarm 使惊恐	
al·bum	/ˈælbəm/	n. 专辑	record: photo album		
al·co·hol	/ˈælkəhɒl/	n. 酒精	liquor: drink alcohol	【联想】alcoholic 酗酒的，含酒精的	
al·co·hol·ic	/ˌælkəˈhɒlɪk/	a. 酗酒的，含酒精的	addicted to alcohol: become alcoholic	【同】addicted to alcohol 【联想】alcohol 酒精	
al·ge·bra	/ˈældʒəbrə/	n. 代数学	branch of math using symbols: solve algebra problems	【同】branch of math using symbols	
a·like	/əˈlaɪk/	a. 类似的	similar: look alike	【同】similar, the same【词组】look alike 【联想】like 像；same 相同的	
a·live	/əˈlaɪv/	a. 活着的	living: stay alive	【反】dead 【联想】live 生活；living 活的	
all	/ɔːl/	a. 所有的	every: all of us	【词组】after all 毕竟，in all 总共，all in all 总的来说	
al·ler·gic	/əˈlɜːdʒɪk/	a. 过敏的	sensitive: allergic to pollen	【词组】be allergic to【联想】allergy 过敏	
al·ley	/ˈæli/	n. 小巷	narrow street: narrow alley		
al·lo·cate	/ˈæləkeɪt/	vt. 分配	assign: allocate resources	【同】assign【词根】al- 'to' + loc 'place' + -ate【联想】词根 loc 地方	
al·low	/əˈlaʊ/	vt. 允许	let: allow someone to do	【反】forbid. My father won't allow me to stay out late. 【联想】allowance 津贴	
al·low·ance	/əˈlaʊəns/	n. 津贴	regular payment: weekly allowance	【联想】allow 允许	
al·most	/ˈɔːlməʊst/	ad. 几乎	nearly: almost finished	【同】nearly. Almost everyone did well in the test	
a·lone	/əˈləʊn/	a. & ad. 单独的	by oneself: live alone	【联想】lonely 孤独的【辨析】alone 独自(客观)；lonely 孤独(主观)	
a·long	/əˈlɒŋ/	prep. 沿着	down the length of: walk along the street	【例句】We were walking along the road, talking.	
a·long·side	/əˌlɒŋˈsaɪd/	prep. & ad. 在旁边	beside: stand alongside	【联想】along 沿着	
a·loud	/əˈlaʊd/	ad. 大声地	loudly: read aloud	【反】silently. read aloud 【联想】loud 大声的	
al·pha·bet	/ˈælfəbet/	n. 字母表	set of letters: the English alphabet		
al·read·y	/ɔːlˈredi/	ad. 已经	by now: already gone	【辨析】already 已经(肯定)；yet 尚未(否定/疑问)；still 仍然	
al·so	/ˈɔːlsəʊ/	ad. 也	too: also available	【同】TOO, as well, besides, in addition, additionally, furthermore, further, moreover	
al·ter·na·tive	/ɒlˈtɜːnətɪv/	a. & n. 替代的	other choice: alternative plan	【同】DIFFERENT, other, another, second.【例句】 We need to find an alternative route to avoid the traffic jam 【联想】alter 改变	
al·though	/ɔːlˈðəʊ/	conj. 虽然	though: although it rains	【同】though 尽管【辨析】though 虽然(口语)；although 虽然(正式)	
al·ti·tude	/ˈæltɪtʃuːd/	n. 海拔	height above sea: high altitude	【同】height above sea 【联想】形近 attitude 态度；height 高度	
al·to·geth·er	/ˌɔːltəˈɡeðər/	ad. 总共	in total: altogether different	【同】IN ALL 【联想】together 一起	
al·u·min·i·um	/ˌæljəˈmɪniəm/	n. 铝	light metal: aluminum foil	【备注】英式拼写【联想】aluminum 铝	
aluminum	/əˈluːmɪnəm/	n. 铝	light metal: an aluminum can	【备注】美式拼写【联想】aluminium 铝【例句】aluminum foil	
al·ways	/ˈɔːlweɪz/	ad. 总是	at all times: always on time	【同】constantly, all the time【辨析】often 经常；usually 通常；always 总是	
am·a·teur	/ˈæmətər/	n. 业余爱好者	non-professional: amateur player	【反】professional【词根】amat 'love' + -eur【同】non-professional, beginner 【联想】反义 professional 专业的	
a·maze	/əˈmeɪz/	vt. 使惊讶	astonish: amaze the audience	【同】ASTONISH, astound, surprise, stun, stagger, nonplus, shock, startle 【联想】amazing 惊人的；amazement 惊奇	
a·maz·ing	/əˈmeɪzɪŋ/	a. 惊人的	astonishing: amazing view	【例句】Their apartment is amazing.【联想】amaze 使惊讶	
am·bas·sa·dor	/æmˈbæsədər/	n. 大使	envoy: ambassador to a country	【联想】ambassadress 女大使	
am·bas·sa·dress	/æmˈbæsədrəs/	n. 女大使	envoy: a female ambassador	【联想】ambassador 大使	
am·big·u·ous	/æmˈbɪɡjuəs/	a. 模棱两可的	having multiple meanings: ambiguous statement	【同】obscure, unclear, vague, abstruse, having multiple meanings【例句】The instructions were ambiguous, making it difficult to assemble the furniture。【词根】ambi- 'both' + ig 'drive' + -uous【联想】ambiguity 模糊	
am·bi·tion	/æmˈbɪʃən/	n. 雄心，抱负，野心	drive: political ambition	【同】aspiration, drive 【联想】ambitious 有雄心的【词根】amb- 'around' + it 'go' + -ion	
am·bu·lance	/ˈæmbjələns/	n. 救护车	emergency: call an ambulance	【词根】ambul 'walk' + -ance	
A·mer·i·ca	/əˈmerɪkə/	n. 美洲	continent: in America	【联想】名词 American 美国人	
A·mer·i·can	/əˈmerɪkən/	a. 美国的	US: American culture	【联想】名词 America 美国	
a·mong	/əˈmʌŋ/	prep. 在...之中	surrounded by: among the trees	【同】surrounded by, in the middle of【辨析】among 三者以上；between 两者之间	
a·mount	/əˈmaʊnt/	n. 数量	quantity: a large amount	【同】number, quantity. A large amount of jewellery was stolen	
am·ple	/ˈæmpəl/	a. 充足的	plenty: ample space	【同】ENOUGH, sufficient, adequate, plenty of 【联想】amplify 放大；形近 sample 样品	
a·muse	/əˈmjuːz/	vt. 使娱乐	entertain: amuse children	【联想】amusement 娱乐	
a·muse·ment	/əˈmjuːzmənt/	n. 娱乐	entertainment: amusement park	【联想】amuse 娱乐【词根】amuse 'entertain' + -ment	
an·a·lyse	/ˈænəlaɪz/	vt. 分析	examine: analyse the data	【备注】英式拼写【联想】analysis 分析	
a·nal·y·sis	/əˈnæləsɪs/	n. 分析	examine: conduct an analysis	【同】EXAMINATION, investigation, inspection, survey, study, scrutiny 【联想】analyse 分析	
an·a·lyze	/ˈænəlaɪz/	vt. 分析	examine: analyze a problem	【备注】美式拼写【同】EXAMINE, inspect, survey, study, scrutinize, look over, investigate【联想】analysis 分析	
an·ces·tor	/ˈænsestər/	n. 祖先	forefather: family ancestor	【联想】descendant 后代【词根】an- 'before' + cest 'go' + -or	
an·chor	/ˈæŋkər/	n. 锚	mooring: drop an anchor		
an·cient	/ˈeɪnʃənt/	a. 古代的	old: ancient history	【同】old 【反】modern【词根】anci 'before' + -ent	
and	/ænd/	conj. 和	plus: bread and butter	【同】TOGETHER WITH, along with, with, as well as, in addition to, also, too, besides, furthermore	
an·ec·dote	/ˈænɪkdəʊt/	n. 轶事	short amusing story: funny anecdote	【同】story; short amusing story	
an·ger	/ˈæŋɡər/	n. 愤怒	rage: feel anger	【同】ANNOYANCE 【联想】angry 生气的	
an·gle	/ˈæŋɡəl/	n. 角度；角	corner: a right angle	【联想】rectangle 长方形，triangle 三角形	
an·gry	/ˈæŋɡri/	a. 生气的	mad: get angry	【词组】get angry【联想】anger 愤怒	
an·i·mal	/ˈænɪməl/	n. 动物	creature: wild animal		
an·kle	/ˈæŋkəl/	n. 脚踝关节	joint between foot and leg: sprain an ankle	【同】joint between foot and leg	
an·ni·ver·sa·ry	/ˌænɪˈvɜːsəri/	n. 周年纪念日	yearly: wedding anniversary	【词根】ann 'year' + vers 'turn' + -ary【联想】词根 ann 年	
an·nounce	/əˈnaʊns/	vt. 宣布	declare: announce a result	【同】declare, state 【联想】announcement 宣布	
an·nounce·ment	/əˈnaʊnsmənt/	n. 宣布	declare: make an announcement	【联想】announce 宣布【词根】an- 'to' + nounce 'report' + -ment	
an·noy	/əˈnɔɪ/	vt. 使恼怒	irritate: annoy someone	【同】make angry, anger, IRRITATE, vex 【联想】annoyed 恼怒的，annoying 烦人的	
an·nu·al	/ˈænjuəl/	a. 年度的	yearly: annual meeting	【词根】ann 'year' + -ual【联想】anniversary 周年纪念	
an·oth·er	/əˈnʌðər/	a. 另一个	other: another chance		
an·swer	/ˈɑːnsər/	v. & n. 回答	reply: answer a question	【同】REPLY, response 【反】question【辨析】answer 回答(及物)；reply/respond 答复(+to)	
ant	/ænt/	n. 蚂蚁	insect: black ant		
An·tarc·tic	/ænˈtɑːktɪk/	a. 南极的	south pole: the Antarctic region	【联想】名词 Arctic 北极	
an·tique	/ænˈtiːk/	n. 古董	old valuable object: buy an antique	【词根】ant- 'before' + ique【同】old valuable object 【联想】antiquity 古代	
anx·i·e·ty	/æŋˈzaɪəti/	n. 焦虑	worry: feel anxiety	【同】WORRY, concern 【联想】anxious 焦虑的	
anx·ious	/ˈæŋkʃəs/	a. 焦虑的	worried: anxious about	【同】WORRIED, concerned.【例句】Many students get anxious about exams 【联想】anxiety 焦虑【词根】anx 'anxiety' + -ious	
an·y	/ˈeni/	a. 任何	some, whichever: any time	【辨析】some 用于肯定句；any 用于否定/疑问句	
an·y·bod·y	/ˈeniˌbɒdi/	pron. 任何人	any person: anybody can do	【联想】anyone 任何人，anything 任何事物，anywhere 任何地方	
an·y·how	/ˈenihaʊ/	ad. 无论如何	in any case: anyhow finish it	【联想】anyway 无论如何	
an·y·one	/ˈeniwʌn/	pron. 任何人	anybody: anyone here	【联想】anybody 任何人	
an·y·thing	/ˈeniθɪŋ/	pron. 任何事物	any object: anything possible	【联想】anyone 任何人，anybody 任何人	
an·y·way	/ˈeniweɪ/	ad. 无论如何	anyhow: anyway let it go	【联想】anyhow 无论如何	
an·y·where	/ˈeniweər/	ad. 任何地方	at any place: go anywhere	【联想】everywhere 到处，somewhere 某处	
a·part	/əˈpɑːt/	ad. 分开；相距	separate: apart from that	【词组】apart from (【同】except for), tell apart, fall apart 【联想】part 部分	
a·part·ment	/əˈpɑːtmənt/	n. 公寓	flat: rent an apartment	【联想】同义 flat 公寓【词根】a- 'to' + part 'part' + -ment	
a·pol·o·gize	/əˈpɒlədʒaɪz/	vi. 道歉	say sorry: apologize to someone	【同】SAY SORRY. apologize to someone for doing something 【联想】apology 道歉【词根】apo- 'away' + log 'speak' + -ize	
a·pol·o·gy	/əˈpɒlədʒi/	n. 道歉	say sorry: make an apology	【联想】apologize 道歉【词根】apo- 'away' + log 'speak' + -y	
ap·par·ent	/əˈpærənt/	a. 明显的	obvious: apparent mistake	【同】obvious, clear.【联想】appear 出现【词根】ap- 'to' + par 'appear' + -ent	
ap·peal	/əˈpiːl/	vi. 上诉	plead; attract: appeal to the public	【词组】 appeal to 吸引 【联想】appealing 吸引人的；形近 appear 出现【词根】ap- 'to' + peal 'drive'	
